id	label	x	y	cluster	weight<No. of pubs>	weight<No. of cits>
4922	Neotropical Ichthyology	0.5445	0.2848	3	981	4639
4927	Coastal Management	-0.1562	-0.3854	3	980	2937
4928	Infant and Child Development	-0.6998	-0.4149	1	980	4458
4929	Journal of Evolutionary Economics	-0.4767	-0.6661	1	979	5298
4931	Springer Protocols Handbooks	0.5105	0.5394	3	979	320
4932	Teaching Education	-0.6887	-0.5309	1	979	2107
4934	International Journal of Selection and Assessment	-0.5739	-0.6507	1	978	6806
4935	Structural Equation Modeling A Multidisciplinary Journal	-0.6577	-0.474	1	978	33283
4936	Pediatric Pathology	-0.3355	0.5697	2	977	2494
4940	Journal of Women & Aging	-0.6151	-0.3247	1	976	2893
4941	Psychology Crime and Law	-0.6376	-0.4024	1	976	6026
4943	Journal of Digestive Diseases	-0.3619	0.6413	2	976	2612
4947	International Reviews of Immunology	-0.2059	0.8126	2	976	5251
4948	Journal of Contemporary Ethnography	-0.5951	-0.5211	1	975	7882
4950	Journal of Gastrointestinal Cancer	-0.3567	0.6233	2	975	1125
4951	Vegetation History and Archaeobotany	0.5814	0.0147	3	975	5837
4953	Journal of Youth Studies	-0.6094	-0.5194	1	975	7727
4955	Geophysical Monograph Series	0.7318	-0.0698	3	974	3503
4956	British Journal of Audiology	-0.5305	0.3831	2	972	5235
4957	Angiogenesis	-0.1971	0.6797	2	972	7729
4958	Stress and Health	-0.64	-0.3706	1	972	4395
4961	Early Years Journal of International Research and Development	-0.6921	-0.519	1	971	1965
4962	Journal of Soil Science	0.6043	0.3421	3	970	7709
4963	Gold Bulletin	1.2889	0.2319	4	970	6104
4968	Regulated Rivers Research & Management	0.5843	0.1819	3	969	6604
4969	Evaluation	-0.5891	-0.5104	1	969	5002
4973	Electronic Materials Letters	1.4353	0.0387	4	968	2399
4974	Journal of Exposure Science & Environmental Epidemiology	-0.0256	0.3079	2	968	5167
4975	Reviews in Fish Biology and Fisheries	0.5469	0.2544	3	967	10936
4979	Career Development International	-0.5686	-0.6534	1	965	7451
4981	Granular Matter	0.8257	-0.3655	5	964	4698
4982	Sociological Methods & Research	-0.569	-0.5181	1	964	15001
4984	Cell and Tissue Banking	-0.2943	0.5812	2	964	2634
4986	Clinical Nursing Research	-0.6081	-0.229	1	963	3206
4987	Virulence	0.0592	0.6421	6	963	4625
4988	Molecular Systems Biology	0.276	0.721	6	963	22181
4992	Feminist Economics	-0.5198	-0.5932	1	962	5295
4993	Australasian Journal of Environmental Management	-0.4668	-0.5699	1	962	1302
4997	Organization & Environment	-0.5156	-0.6119	1	961	4233
4999	Bioacoustics	0.5192	0.2648	3	960	2254
5005	Journal of Small Business and Enterprise Development	-0.526	-0.6917	1	959	6983
5006	Ethics & Behavior	-0.6453	-0.4524	1	959	3621
5007	Mycological Progress	0.5707	0.3832	3	958	2866
5009	Molecular Pain	-0.1853	0.5724	2	958	7507
5010	Journal of the Association for Information Science and Technology	-0.5411	-0.714	1	957	1935
5011	International Journal of Sports Science & Coaching	-0.6729	-0.4399	1	957	2123
5013	Amyotrophic Lateral Sclerosis	-0.4544	0.3722	2	957	5541
5017	Tertiary Education and Management	-0.6734	-0.5486	1	956	2101
5019	Housing Policy Debate	-0.5029	-0.5823	1	956	8008
5022	Journal of Drug Education	-0.6318	-0.3368	1	955	6120
5023	Family Business Review	-0.5263	-0.6929	1	955	15990
5024	European Journal of Finance	-0.4545	-0.7034	1	955	2412
5025	Current Treatment Options in Neurology	-0.439	0.3978	2	955	2937
5027	Journal of Productivity Analysis	-0.4455	-0.653	1	954	7484
5028	Journal of Developmental and Physical Disabilities	-0.7058	-0.3993	1	954	3608
5031	Addiction Research & Theory	-0.6318	-0.3395	1	953	4442
5033	Management Communication Quarterly	-0.5978	-0.5999	1	953	9701
5034	Language Testing	-0.7217	-0.52	1	952	7191
5039	NANO	1.3837	0.1022	4	951	1572
5040	Microbial Ecology in Health and Disease	0.0033	0.567	8	951	2371
5041	Antiviral Chemistry & Chemotherapy	0.4249	0.6569	4	950	3952
5043	Biological Research	0.0561	0.5711	2	950	2988
5045	Pharmaceutical Statistics	-0.0835	-0.2402	5	949	2967
5047	Surveys in Geophysics	0.7144	-0.1031	3	948	5702
5051	Journal of Autonomic Pharmacology	-0.1498	0.5627	2	947	2226
5053	Physical Review X	1.9876	-0.3561	7	946	11707
5054	New Political Economy	-0.5307	-0.5932	1	946	4784
5055	Journal of Cosmetic and Laser Therapy	-0.2767	0.5985	2	946	2616
5056	Law & Policy	-0.5565	-0.5493	1	946	3393
5057	Open Life Sciences	0.4821	0.4322	3	946	1072
5058	Geografiska Annaler Series B Human Geography	-0.5038	-0.5786	1	946	6482
5059	Political Behavior	-0.5463	-0.5938	1	945	10290
5061	Journal of Sport & Social Issues	-0.5823	-0.5552	1	945	6421
5062	Twin Research	-0.56	-0.0145	2	945	5031
5064	Meteoritics	0.8961	-0.0763	7	945	6050
5065	Education and Information Technologies	-0.6911	-0.5419	1	944	1357
5066	Prevention Science	-0.6394	-0.3503	1	944	11839
5067	Journal of Immunology Research	-0.2076	0.7236	2	944	2102
5070	Benchmarking An International Journal	-0.4959	-0.702	1	943	5872
5073	Punishment & Society	-0.6061	-0.4633	1	943	3514
5074	Protein & Cell	0.0417	0.8345	6	943	4245
5075	Communication Studies	-0.6139	-0.5604	1	942	4870
5077	Review of International Political Economy	-0.5305	-0.5934	1	941	8836
5078	Mathematical Finance	0.164	-0.5907	5	941	8610
5079	Designed Monomers & Polymers	1.2034	0.1291	4	941	2796
5081	Policy Sciences	-0.5347	-0.5995	1	941	6179
5082	Nutritional Neuroscience	-0.2358	0.403	2	941	3941
5083	Child Neuropsychology	-0.7076	-0.3	1	941	7626
5084	Geography Compass	-0.5034	-0.5731	1	940	5657
5085	Language and Cognitive Processes	-0.7545	-0.4751	1	940	12454
5087	Group Decision and Negotiation	-0.4663	-0.6693	1	939	3941
5093	Critique of Anthropology	-0.5491	-0.5529	1	936	3243
5096	Human Fertility	-0.3029	0.3871	2	936	1771
5097	Journal of Clinical Psychology in Medical Settings	-0.6219	-0.2433	1	936	3956
5100	Influenza and Other Respiratory Viruses	0.0171	0.5313	2	935	3772
5101	Advances in Meteorology	0.6704	-0.0655	3	934	1386
5104	Cultural Studies of Science Education	-0.6974	-0.5389	1	934	2080
5105	Personal Relationships	-0.6514	-0.4319	1	933	11265
5107	Teachers and Teaching	-0.688	-0.5323	1	933	5462
5110	ZDM	-0.6982	-0.536	1	933	3321
5113	Communication Theory	-0.5996	-0.5673	1	932	10407
5114	Diabetology & Metabolic Syndrome	-0.317	0.4698	2	932	2442
5116	Chemistry Education Research and Practice	-0.6991	-0.5399	1	932	2899
5117	Business Process Management Journal	-0.5014	-0.6998	1	932	7116
5121	mAbs	-0.0215	0.7248	2	930	6862
5123	Cancer Cell International	-0.1894	0.7344	2	930	3947
5124	Criminal Justice Policy Review	-0.61	-0.454	1	930	3038
5125	Journal of Bioinformatics and Computational Biology	0.3883	0.6281	6	930	2648
5126	Feminist Media Studies	-0.59	-0.5623	1	929	2718
5127	Early Intervention in Psychiatry	-0.6435	-0.2767	1	929	3027
5128	Estudos de Psicologia (Campinas)	-0.6759	-0.3131	1	929	1091
5131	Behavioural Neurology	-0.6005	-0.0297	2	928	3414
5133	BMC Oral Health	-0.5261	0.5523	8	927	3363
5135	Free Radical Research Communications	-0.0208	0.5609	2	927	5091
5136	Entrepreneurship Theory and Practice	-0.5262	-0.693	1	926	22362
5137	International Journal of Dental Hygiene	-0.5266	0.5521	8	926	2208
5138	Journal of Biological System	0.58	-0.4576	5	926	1646
5139	Advances in High Energy Physics	1.5861	-0.7008	7	926	2691
5140	The Curriculum Journal	-0.688	-0.534	1	925	2813
5141	International Review of Hydrobiology	0.5832	0.235	3	924	3753
5142	Policing & Society	-0.6085	-0.4569	1	924	3852
5147	Annual Reports Section A (Inorganic Chemistry)	1.3367	0.3033	4	923	658
5148	Ferroelectrics Letters Section	1.4716	0.022	4	922	2470
5150	Small Group Research	-0.6023	-0.6061	1	922	9256
5152	Journal of the Korean Society for Applied Biological Chemistry	0.5459	0.4738	3	921	1327
5153	Educational Psychologist	-0.6971	-0.5259	1	921	23729
5154	Human Factors and Ergonomics in Manufacturing & Service Industries	-0.4986	-0.6424	1	921	1961
5156	International Journal of Science and Mathematics Education	-0.6988	-0.5382	1	920	2723
5158	Encyclopedia of Environmetrics	0.1485	-0.5267	5	920	55
5159	Cancer Biomarkers	-0.2499	0.7022	2	919	1519
5160	Journal of Geriatric Psychiatry and Neurology	-0.5965	-0.0547	2	919	6542
5164	Scandinavian Audiology	-0.5306	0.3832	2	918	4629
5166	Equal Opportunities International	-0.5653	-0.6448	1	918	1560
5168	Autism Research	-0.7003	-0.2004	1	918	5111
5170	Health Education	-0.6208	-0.3349	1	917	2724
5172	Advances in Applied Ceramics	1.2994	0.0186	4	916	2193
5173	Social Policy and Society	-0.5636	-0.5522	1	916	3516
5175	Issues in Comprehensive Pediatric Nursing	-0.6167	-0.2438	1	916	2552
5176	Defence and Peace Economics	-0.4864	-0.6354	1	916	3026
5179	International Tax and Public Finance	-0.4635	-0.6534	1	915	3382
5182	Marketing Letters	-0.5157	-0.6795	1	914	7132
5183	Production	-0.4912	-0.7019	1	913	537
5185	BMC Developmental Biology	0.0465	0.6963	6	912	8329
5186	Natural Language & Linguistic Theory	-0.7667	-0.4821	1	912	5001
5187	Journal of Computer-Mediated Communication	-0.5899	-0.5776	1	912	12580
5188	Innovations in Education and Teaching International	-0.6778	-0.5463	1	911	3035
5191	The Australian Educational Researcher	-0.6835	-0.535	1	911	2550
5192	Journal of Social Work	-0.6386	-0.4129	1	910	2342
5194	Agricultural and Forest Entomology	0.5554	0.3497	3	910	4833
5197	Journal of Physiology and Biochemistry	-0.1522	0.5411	2	909	3186
5199	Journal of Research in Crime and Delinquency	-0.6106	-0.4539	1	908	20111
5201	International Journal of Damage Mechanics	0.8502	-0.375	5	908	3066
5202	Human Resource Management Journal	-0.558	-0.6568	1	907	10663
5203	Multibody System Dynamics	0.7729	-0.4391	5	907	4391
5206	Asia Pacific Journal of Tourism Research	-0.5108	-0.6648	1	907	2808
5208	52nd Aerospace Sciences Meeting	0.8376	-0.4521	5	906	1355
5209	Men and Masculinities	-0.5966	-0.5194	1	906	4407
5211	Journal of Multicultural Counseling and Development	-0.6563	-0.4018	1	905	5063
5212	Child & Family Behavior Therapy	-0.6874	-0.3955	1	905	2554
5213	Human Resource Development International	-0.5708	-0.6573	1	905	4729
5214	Business & Society	-0.529	-0.6806	1	905	10011
5215	Journal of Property Investment and Finance	-0.4483	-0.6832	1	904	2101
5216	European Financial Management	-0.4593	-0.7047	1	904	4651
5217	Reflective Practice	-0.6834	-0.529	1	904	3568
5219	American Journal of Criminal Justice	-0.6106	-0.4549	1	903	3184
5223	Social and Personality Psychology Compass	-0.6598	-0.4454	1	903	6457
5225	Metals	1.2593	-0.0276	4	903	1008
5228	The Urban Review	-0.6874	-0.5281	1	902	4684
5231	Sociological Focus	-0.5951	-0.5157	1	901	2517
5233	Journal of Black Psychology	-0.6531	-0.4118	1	901	6691
5235	The Clinical Supervisor	-0.6551	-0.4007	1	900	2922
5237	Cognitive Affective & Behavioral Neuroscience	-0.7287	-0.2917	1	900	10362
5238	Primary Health Care Research & Development	-0.5897	-0.2097	1	899	1489
5240	Scandinavian Political Studies	-0.5416	-0.5946	1	899	4326
5241	European Urban and Regional Studies	-0.5054	-0.5937	1	899	6429
5242	Systematic Reviews	-0.5197	-0.0859	1	899	2525
5244	Communications in Contemporary Mathematics	0.6732	-0.6058	5	898	1939
5245	European Journal of Work and Organizational Psychology	-0.5723	-0.6485	1	897	11429
5246	Proceedings of the National Academy of Sciences India Section B Biological Sciences	0.5564	0.4064	3	897	453
5251	Expert Review of Clinical Pharmacology	-0.2892	0.4835	2	896	2108
5256	Revista Brasileira de Educação Médica	-0.5632	0.0331	2	894	2096
5262	Journal of Pest Science	0.5558	0.3534	3	892	4029
5264	Imagination Cognition and Personality	-0.685	-0.428	1	892	3636
5265	International Journal of Innovation Management	-0.5151	-0.6969	1	892	3819
5266	International Interactions	-0.5311	-0.5958	1	892	4501
5268	Frontiers in Molecular Neuroscience	-0.1036	0.6896	6	892	3554
5269	Stem Cell Reviews and Reports	-0.1351	0.6963	2	892	6947
5270	Marine Geophysical Research	0.6985	-0.0197	3	892	4293
5271	Politics &amp Policy	-0.5437	-0.594	1	891	1079
5273	Macromolecular Reaction Engineering	1.211	0.1319	4	891	2201
5275	Critical Reviews in Plant Sciences	0.5901	0.3969	3	891	12100
5280	Expert Review of Respiratory Medicine	-0.3466	0.4371	2	889	2141
5286	Combustion Theory and Modelling	0.8406	-0.4481	5	888	3941
5287	Integrative Cancer Therapies	-0.213	0.4756	2	888	3896
5288	Invertebrate Biology	0.5357	0.2857	3	888	2935
5290	Archives of Suicide Research	-0.6511	-0.3291	1	888	4017
5291	Expert Review of Endocrinology & Metabolism	-0.3136	0.5082	2	888	793
5292	Sleep and Biological Rhythms	-0.4786	0.1091	2	888	1249
5293	Australian Accounting Review	-0.4702	-0.7082	1	887	2476
5295	Chinese Journal of Cancer	-0.2547	0.6981	2	887	2542
5296	Acta Geophysica	0.7141	-0.1093	3	887	1534
5300	Journal of Financial Services Research	-0.4561	-0.7011	1	887	3683
5301	The International Review of Retail Distribution and Consumer Research	-0.5164	-0.6809	1	886	4525
5303	Revista Brasileira de Ciência Avícola	0.3061	0.4907	3	885	804
5305	Journal for Specialists in Pediatric Nursing	-0.6155	-0.2411	1	884	2068
5311	Scandinavian Journal of Occupational Therapy	-0.6397	-0.2382	1	884	4780
5314	Molecular Membrane Biology	0.1908	0.8464	6	883	6163
5318	Innovative Higher Education	-0.6735	-0.545	1	882	2821
5319	Journal of Earth Science	0.6958	-0.0178	3	882	1351
5320	Journal of Geophysical Research Biogeosciences	0.6557	0.1091	3	881	2586
5321	Wiley Series in Probability and Statistics	0.1395	-0.5384	5	881	40396
5322	Journal of Manufacturing Technology Management	-0.4927	-0.7043	1	880	5079
5323	Journal of Applied Communication Research	-0.6129	-0.56	1	880	7738
5324	Electronic Markets	-0.5053	-0.6955	1	880	2821
5326	Swiss Political Science Review	-0.5406	-0.5959	1	880	1609
5330	Global Environmental Politics	-0.523	-0.5912	1	879	4849
5334	Theoretical Criminology	-0.6059	-0.4639	1	878	5577
5335	Evolutionary Applications	0.5341	0.3105	3	878	8744
5336	Journal of Family and Economic Issues	-0.5642	-0.5446	1	877	4283
5337	Journal of Hematology & Oncology	-0.2532	0.7174	2	877	6380
5338	Journal of Nephrology	-0.3349	0.5304	2	877	2105
5341	Preventing School Failure Alternative Education for Children and Youth	-0.7138	-0.476	1	877	3182
5348	Urban Ecosystems	0.5363	0.2208	3	876	4813
5351	Cellular and Molecular Immunology	-0.1742	0.77	2	875	4987
5353	Anxiety Stress & Coping	-0.6606	-0.3777	1	875	6233
5356	Theoretical and Computational Fluid Dynamics	0.8393	-0.4517	5	874	6186
5358	Plant Species Biology	0.5847	0.3314	3	874	2613
5363	ISBT Science Series	-0.3035	0.6344	2	873	567
5365	Journal of Coastal Conservation	0.5391	0.0828	3	873	1681
5366	Journal of Career Assessment	-0.6656	-0.4619	1	873	7310
5367	Regional & Federal Studies	-0.539	-0.5957	1	873	2705
5369	Cognitive Processing	-0.7382	-0.4128	1	872	2810
5371	Global Business Review	-0.5103	-0.6867	1	872	1033
5373	Journal of Engineering Design	0.1579	-0.5806	5	871	3753
5375	Childhood	-0.6243	-0.5045	1	871	6978
5376	European Journal of Population / Revue européenne de Démographie	-0.5393	-0.5186	1	871	3563
5381	Clothing and Textiles Research Journal	-0.5179	-0.6764	1	870	5311
5382	Journal of Criminal Justice Education	-0.6124	-0.4596	1	869	3893
5385	Citizenship Studies	-0.5542	-0.5636	1	869	5539
5386	Supply Chain Management An International Journal	-0.4917	-0.704	1	869	14075
5389	Politics & Society	-0.5385	-0.5911	1	868	8149
5394	Biofuels Bioproducts and Biorefining	0.6684	0.321	3	865	5088
5396	Journal of Diabetes	-0.3139	0.4703	2	865	2119
5397	Economic Systems Research	-0.4459	-0.6372	1	865	4492
5398	Journal of Communication Inquiry	-0.5948	-0.5668	1	864	2418
5400	Journal of Forensic Psychiatry and Psychology	-0.6376	-0.398	1	863	3144
5402	Psyche A Journal of Entomology	0.5496	0.3354	3	863	1930
5403	Journal of Molecular Histology	-0.1615	0.6398	2	863	3948
5404	Nanotoxicology	0.0659	0.4951	2	862	7927
5406	The Protein Journal	0.4873	0.626	6	862	2152
5411	Reviews in Clinical Gerontology	-0.5767	-0.0502	2	860	1752
5413	Journal of Business and Technical Communication	-0.6704	-0.5616	1	860	2632
5416	Medical Anthropology	-0.591	-0.3818	1	858	3719
5417	Psychogeriatrics	-0.5896	-0.0496	2	858	1354
5421	Structural Optimization	0.774	-0.4423	5	858	5159
5422	Indian Journal of Microbiology	0.5536	0.4881	3	858	2197
5425	Journal of Pharmacokinetics and Biopharmaceutics	-0.0971	0.4932	2	857	6805
5427	Sarsia	0.5499	0.2696	3	856	4436
5428	Linguistics and Philosophy	-0.7675	-0.4825	1	856	4941
5430	BioEnergy Research	0.6538	0.3266	3	856	4851
5431	American Journal of Lifestyle Medicine	-0.5497	-0.0741	2	856	1573
5434	Revista Paulista de Pediatria	-0.486	0.2067	2	855	1106
5435	Journal of Business Economics	-0.4839	-0.7	1	855	784
5440	Computer Assisted Language Learning	-0.7221	-0.5212	1	854	2766
5442	Indian Journal of Gastroenterology	-0.368	0.6295	2	854	869
5444	Genes & Genomics	0.4165	0.5088	3	853	990
5446	International Journal of Information Technology & Decision Making	0.2204	-0.5854	5	853	3141
5448	Contrast Media & Molecular Imaging	-0.1702	0.6348	2	852	3195
5452	Journal of Science Teacher Education	-0.6989	-0.539	1	851	3921
5453	Journal of Vocational Education and Training	-0.6759	-0.5443	1	851	3311
5454	Population Space and Place	-0.534	-0.5614	1	849	4733
5455	Entomological Science	0.5497	0.3381	3	849	1678
5456	3 Biotech	0.5746	0.4758	3	849	857
5457	International Journal for Numerical Methods in Biomedical Engineering	0.6593	-0.3783	5	849	2384
5459	Group Processes & Intergroup Relations	-0.6489	-0.4669	1	849	7907
5461	Journal of Experimental Zoology Part B Molecular and Developmental Evolution	0.428	0.368	3	849	4599
5462	Revista CERES	0.5781	0.3714	3	848	816
5464	International Politics	-0.533	-0.5919	1	848	1457
5466	School Leadership and Management	-0.6862	-0.5358	1	847	4758
5467	Nutrition & Metabolism	-0.2254	0.4628	2	846	6322
5468	Qualitative Social Work	-0.6383	-0.4131	1	846	3240
5469	International Journal of Social Research Methodology	-0.6172	-0.4976	1	845	6581
5471	International Journal of Comparative and Applied Criminal Justice	-0.6085	-0.4556	1	845	1203
5472	Economics of Transition	-0.4694	-0.6558	1	845	3383
5477	BMC Surgery	-0.3861	0.5687	2	844	2283
5478	Journal of Contingencies and Crisis Management	-0.5293	-0.6048	1	844	3184
5480	ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)	-0.3845	0.5651	2	844	889
5483	European Journal of Cultural Studies	-0.584	-0.5648	1	842	3094
5484	Economics of Innovation and New Technology	-0.4754	-0.6673	1	842	4824
5486	Sport Education and Society	-0.6767	-0.5145	1	842	6997
5487	Progress in Development Studies	-0.5151	-0.5855	1	842	2159
5491	Journal of Maps	0.6521	-0.0315	3	841	1658
5495	Australian Journal of Grape and Wine Research	0.5699	0.4289	3	840	5278
5498	Journal of Crime and Justice	-0.6105	-0.4544	1	839	2023
5501	American Journal of Cardiovascular Drugs	-0.3354	0.4799	2	839	2905
5502	Teacher Development	-0.6883	-0.5326	1	839	1505
5505	BMC Cell Biology	-0.0488	0.7548	6	838	6915
5509	The Irish Journal of Psychology	-0.6711	-0.3996	1	837	1930
5511	Current Treatment Options in Oncology	-0.3244	0.6397	2	837	3174
5512	Population Ecology	0.5575	0.2775	3	837	4909
5514	Food Reviews International	0.5352	0.4696	3	836	4183
5516	Child Maltreatment	-0.6482	-0.3879	1	836	9513
5519	Journal of Special Education Technology	-0.7147	-0.476	1	835	1930
5520	Journal of Workplace Learning	-0.5723	-0.6559	1	835	4770
5526	Schmalenbachs Zeitschrift für betriebswirtschaftliche Forschung	-0.4831	-0.7001	1	834	563
5527	Human Dimensions of Wildlife	-0.3385	-0.4367	3	834	4407
5528	CPL bibliography	-0.4974	-0.5831	1	833	3323
5530	Revista Brasileira de Saúde Materno Infantil	-0.5606	0.0374	2	833	2469
5532	Journal of Higher Education Policy and Management	-0.6732	-0.5489	1	832	3746
5534	Expert Review of Ophthalmology	-0.4361	0.6371	2	832	581
5537	Ethnicity and Health	-0.5957	-0.2542	1	830	5278
5539	Micromachines	0.9947	0.1254	4	830	1374
5542	Journal of Medical Toxicology	-0.2814	0.4204	2	829	2942
5544	Journal of Physical and Chemical Reference Data	1.2227	0.1667	4	829	20471
5547	Biofuels	0.6677	0.3219	3	829	1735
5548	Journal of Turbulence	0.8439	-0.4494	5	828	3573
5549	Infancy	-0.733	-0.4298	1	828	6291
5550	Brazilian Journal of Pharmaceutical Sciences	-0.007	0.4878	2	828	812
5551	Evolutionary Computation	0.4641	-0.5398	5	828	7361
5552	Journal of Legislative Studies	-0.5413	-0.5954	1	828	2610
5554	Journal of the Association for Research in Otolaryngology	-0.5183	0.388	2	827	5311
5555	Molecular Informatics	0.5598	0.6243	4	827	1858
5557	Head and Neck Pathology	-0.3398	0.6283	2	827	2807
5560	Acta Neurologica Belgica	-0.4427	0.3927	2	825	556
5562	Work	-0.5929	-0.2442	1	825	444
5564	Environmental Modeling & Assessment	0.4984	-0.074	3	824	2610
5566	Physical Review Applied	1.7152	-0.0487	4	824	2671
5572	Brain and Behavior	-0.4978	0.1951	2	822	1540
5573	Advances in Dental Research	-0.52	0.5573	8	822	4923
5574	Andrology	-0.193	0.5483	2	821	1584
5577	Journal of Scheduling	0.2495	-0.5862	5	821	3179
5579	Scandinavian Actuarial Journal	0.1352	-0.5707	5	821	2709
5580	The Aging Male	-0.3207	0.4978	2	821	2633
5581	Political Analysis	-0.5431	-0.5958	1	820	11107
5582	Western Journal of Communication	-0.6133	-0.5606	1	820	4335
5583	Journal of Applied Aquaculture	0.4819	0.3503	3	820	1936
5586	Emotional and Behavioural Difficulties	-0.7054	-0.4758	1	820	1363
5587	Research and Practice for Persons with Severe Disabilities	-0.714	-0.4728	1	820	3597
5588	Atmosphere	0.6769	-0.0606	3	820	833
5589	Test	0.1419	-0.5415	5	819	2628
5591	Identities	-0.5551	-0.5573	1	819	2655
5593	Biodemography and Social Biology	-0.5455	-0.4039	1	819	619
5594	Journal of Child Health Care	-0.6159	-0.2406	1	818	2381
5598	Revista Brasileira de Parasitologia Veterinária	0.3688	0.4273	3	817	1638
5599	Frontiers in Neural Circuits	-0.2874	0.2585	2	817	3570
5600	International Studies of Management and Organization	-0.5341	-0.6845	1	817	5289
5608	Biological Research for Nursing	-0.4582	0.1868	2	815	2506
5617	Entrepreneurship and Regional Development	-0.5254	-0.6914	1	812	11624
5619	Journal of Cross-Cultural Gerontology	-0.613	-0.3224	1	811	3780
5620	The European Journal of Cognitive Psychology	-0.744	-0.4205	1	811	7026
5623	Journal of Sulfur Chemistry	1.2838	0.3218	4	811	1864
5628	Review of World Economics	-0.4647	-0.6554	1	810	3414
5629	Journal of Strategic Marketing	-0.5193	-0.6847	1	810	4327
5630	Hepatology International	-0.3559	0.6528	2	809	3752
5631	Studies in Comparative International Development	-0.5318	-0.5938	1	809	4182
5632	Expert Review of Hematology	-0.3014	0.6533	2	809	2066
5633	Research Papers in Education	-0.6868	-0.5335	1	809	4653
5638	International Journal of Nonprofit and Voluntary Sector Marketing	-0.5293	-0.6636	1	808	3181
5644	Scandinavian Journal of Surgery	-0.3939	0.5545	2	807	1426
5646	Acta Crystallographica Section F Structural Biology Communications	0.6958	0.7777	6	807	798
5648	Aging Neuropsychology and Cognition	-0.6865	-0.2725	1	806	4611
5649	Journal of Experimental Zoology Part A Ecological Genetics and Physiology	0.4718	0.3294	3	806	1972
5651	Journal of Research in Special Educational Needs	-0.7069	-0.4782	1	805	1412
5654	Atmospheric Science Letters	0.6741	-0.0694	3	804	2630
5658	Social Psychological and Personality Science	-0.6624	-0.4453	1	803	4035
5662	Nanomaterials	1.2303	0.1841	4	803	1802
5664	Seminars in Cardiothoracic and Vascular Anesthesia	-0.3634	0.491	2	802	1074
5665	Security Studies	-0.5328	-0.5926	1	801	3227
5668	Enterprise Information Systems	-0.482	-0.6948	1	801	2747
5669	Police Practice and Research	-0.6089	-0.4565	1	800	1858
5670	Evolutionary Psychology	-0.6146	-0.411	1	800	2487
5671	BMC Molecular Biology	0.1986	0.6638	6	800	8390
5672	Fish and Fisheries	0.5503	0.2405	3	800	9816
5673	Physiotherapy Research International	-0.5407	0.0757	2	800	2748
5675	Journal of Gay & Lesbian Social Services	-0.6341	-0.4131	1	800	3269
5682	Botanica Acta	0.6025	0.3872	3	798	4814
5695	Journal of Mechanics of Materials and Structures	0.7837	-0.4415	5	794	1667
5696	HIV Clinical Trials	-0.3342	0.3604	2	794	2883
5700	ISPRS International Journal of Geo-Information	0.1162	-0.3899	3	793	1219
5704	Mindfulness	-0.6631	-0.36	1	792	3307
5708	Topics in Applied Physics	1.4592	-0.0237	4	791	4305
5711	International Journal of Cultural Policy	-0.5444	-0.5848	1	791	3122
5712	Assessment in Education Principles Policy and Practice	-0.6902	-0.5328	1	791	5025
5713	European Early Childhood Education Research Journal	-0.692	-0.519	1	791	2676
5715	Journal of Research in Childhood Education	-0.702	-0.5079	1	791	2570
5720	Journal of Early Intervention	-0.7139	-0.4717	1	789	5831
5723	Journal of Community Practice	-0.631	-0.4204	1	789	2460
5725	South African Geographical Journal	-0.4967	-0.5759	1	789	1579
5726	International Journal of Mental Health and Addiction	-0.6342	-0.3421	1	789	2582
5729	Journal of Family Nursing	-0.6155	-0.2436	1	788	3792
5731	Critical Reviews in Toxicology	-0.0207	0.4824	2	788	13401
5734	Foot & Ankle Specialist	-0.4309	0.5009	2	787	823
5735	Asian and Pacific Migration Journal	-0.5519	-0.5603	1	787	1749
5736	Neuroscience Bulletin	-0.2442	0.4126	2	786	2748
5739	The International Journal of Lower Extremity Wounds	-0.3199	0.5435	2	786	1961
5740	Frontiers in Neuroanatomy	-0.2361	0.3406	2	786	3581
5744	Educational Management Administration & Leadership	-0.6858	-0.5358	1	785	3584
5745	Revista Gaúcha de Enfermagem	-0.5634	0.0327	2	785	988
5748	BMC Women s Health	-0.561	-0.1408	1	783	2967
5750	Sociological Theory	-0.5719	-0.5551	1	783	10667
5752	Abacus	-0.4697	-0.7085	1	783	4175
5753	Globalizations	-0.5301	-0.5878	1	783	2446
5754	Japanese Psychological Research	-0.7174	-0.4178	1	783	1422
5756	Culture & Psychology	-0.6518	-0.483	1	782	4400
5759	Disability and Rehabilitation Assistive Technology	-0.6402	-0.2365	1	782	2465
5764	Journal of Risk and Uncertainty	-0.4573	-0.6532	1	781	9538
5765	BMC Medical Genomics	-0.1758	0.6841	2	781	5697
5766	Language Teaching Research	-0.7228	-0.5204	1	781	2942
5767	Fluctuation and Noise Letters	0.765	-0.5459	5	781	1707
5770	Veterinary and Comparative Oncology	0.1999	0.5238	3	780	2264
5771	Science Communication	-0.5822	-0.5432	1	780	5457
5774	Journal of Global Marketing	-0.5211	-0.6844	1	780	2441
5775	Animal Biotechnology	0.3041	0.5006	3	780	1417
5777	Environmental and Ecological Statistics	0.1486	-0.5261	5	780	4030
5783	Computational Geosciences	0.7531	-0.3779	5	779	2794
5785	Somatosensory & Motor Research	-0.4084	0.2767	2	778	3621
5786	International Materials Reviews	1.2612	-0.0263	4	778	12662
5787	BMC Immunology	-0.1642	0.721	2	778	5064
