id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
416	cholinergic neurotransmission	-0.1824	-0.3557	1	110	132	14	2006.2143
417	cholinergic system	-0.1771	-0.3399	1	189	241	22	2008.3182
418	cholinesterase	-0.0097	-0.4046	1	211	292	21	2007.4286
419	cholinesterase inhibitor	0.0386	-0.3852	1	385	719	53	2008.5283
420	chromosome	-0.0063	0.4768	3	990	3245	216	2004.4213
421	chronic treatment	-0.4223	-0.4911	1	144	179	15	2009.7333
422	circular dichroism	-0.8951	0.2918	4	162	308	21	2006.4286
423	cjd	0.4796	0.3076	3	275	492	30	2008.0667
424	classification	0.8597	0.2498	2	630	1524	80	2008.4125
425	cleavage	-0.6991	-0.2117	1	825	2093	147	2008.5918
426	clinic	0.8829	-0.1245	2	482	968	51	2008.7843
427	clinical	0.7407	0.3013	3	344	576	30	2008.6
428	clinical application	0.1846	-0.36	1	199	274	22	2009.9091
429	clinical assessment	0.9639	0.022	2	301	505	21	2011.8571
430	clinical benefit	0.2077	-0.4211	1	182	252	15	2012.2
431	clinical characteristic	0.4243	0.409	3	154	189	13	2008.0769
432	clinical course	0.3843	0.0269	3	248	296	18	2010.6667
433	clinical criterium	0.9755	-0.0863	2	323	581	32	2009.625
434	clinical data	0.8181	-0.0824	2	351	612	29	2009.7931
435	clinical dementia	0.6623	0.192	2	313	520	36	2007.0833
436	clinical dementia rating	1.2057	0.0609	2	324	622	31	2008.1935
437	clinical diagnosis	0.9143	-0.0285	2	969	3710	201	2008.2239
438	clinical examination	1.0306	-0.3177	2	152	240	12	2005.5833
439	clinical feature	0.4518	0.3848	3	512	1032	67	2008.1343
440	clinical group	1.4523	0.0995	2	166	300	13	2011.3846
441	clinical history	0.2655	0.3742	3	144	160	10	2005.2
442	clinical measure	1.3874	0.1173	2	183	318	15	2008.8
443	clinical onset	0.6488	-0.0164	2	219	287	17	2011
444	clinical outcome	0.3457	-0.4127	1	232	357	21	2011.1905
445	clinical phenotype	0.4084	0.4267	3	446	797	49	2009.5714
446	clinical practice	0.8933	-0.2377	2	485	1160	63	2010.0159
447	clinical presentation	0.4864	0.3962	3	324	553	36	2009.0833
448	clinical progression	0.8542	-0.4342	2	266	402	26	2009.8462
449	clinical research	0.0948	-0.4283	1	116	144	12	2010.8333
450	clinical routine	1.3505	-0.318	2	152	242	11	2010.4545
451	clinical setting	1.3478	-0.2618	2	269	461	23	2011.3043
452	clinical sign	0.3894	0.1098	3	223	299	23	2006.6957
453	clinical stage	1.0258	-0.1566	2	315	552	31	2008.0645
454	clinical syndrome	0.4825	0.4456	3	277	520	32	2007.2188
455	clinical trial	0.2497	-0.3741	1	1155	4606	321	2010.7819
456	clinical use	0.2158	-0.398	1	251	348	22	2009.7273
457	clinical utility	1.1559	-0.3502	2	189	284	15	2010.5333
458	clinically	0.9255	-0.1864	2	225	302	16	2010.5
459	clinicaltrial	0.6529	-0.5293	2	169	327	14	2013.4286
460	clinician	0.7891	-0.1081	2	237	396	25	2007.92
461	clinicopathological study	0.5512	0.2851	3	188	233	15	2005.8
462	clone	-0.8009	0.4406	4	143	182	14	1999.5714
463	clu	0.9932	0.3396	2	170	364	13	2013
464	cluster analysis	1.0847	0.146	2	171	235	13	2010.3846
465	co expression	-0.6883	-0.0836	1	139	173	13	2008.0769
466	co immunoprecipitation	-0.7521	0.1536	4	133	154	10	2010.9
467	co localization	-0.4929	0.179	3	353	536	42	2007.5238
468	co localize	-0.6353	0.1326	4	153	181	14	2007.3571
469	co occurrence	0.3318	0.414	3	207	273	20	2010.35
470	codon	0.2724	0.5236	3	233	358	26	2006
471	coefficient	1.2745	-0.2859	2	311	697	37	2011
472	coexistence	0.1314	0.4459	3	196	246	18	2007
473	cofactor	-0.8332	0.2063	4	136	196	13	2007.1538
474	cofilin	-0.5299	0.088	3	114	160	12	2010.5
475	cognitive assessment	1.161	0.0523	2	237	375	16	2013.0625
476	cognitive change	1.0137	0.0895	2	346	590	30	2009.9333
477	cognitive deterioration	0.5885	-0.1643	2	311	461	31	2009.8065
478	cognitive disorder	0.3777	-0.3256	1	301	502	33	2009.6364
479	cognitive domain	0.6415	-0.2052	2	189	282	16	2010.75
480	cognitive enhancer	-0.2846	-0.4702	1	59	62	10	2010.5
481	cognitive functioning	0.7062	-0.36	2	165	219	13	2009.9231
482	cognitive improvement	-0.2668	-0.4456	1	169	194	15	2013.3333
483	cognitive measure	1.2203	0.0998	2	218	384	17	2010.1765
484	cognitive performance	0.5125	-0.3527	2	695	1548	90	2010.6
485	cognitive score	1.2372	-0.1225	2	274	467	25	2010
486	cognitive status	0.7948	0.0302	2	286	440	27	2008.6667
487	cognitive symptom	0.6229	-0.2939	2	364	566	32	2010.6562
488	cognitive test	0.9482	-0.2274	2	207	295	14	2009.6429
489	cognitively	1.295	0.0154	2	291	577	29	2011.0345
490	cohort	1.139	0.1588	2	1012	4270	217	2011.7972
491	cohort study	1.3146	0.0495	2	384	834	36	2011.9444
492	coiled body	0.0379	0.5385	3	213	385	20	2005.25
493	colleague	0.3615	0.1169	3	71	77	10	2009.3
494	collection	0.9277	-0.3218	2	313	538	32	2010.1875
495	colocalization	-0.4598	0.2664	3	418	732	51	2005.2941
496	colocalize	-0.558	0.121	3	162	196	13	2005.0769
497	combination	0.567	-0.1214	2	1460	5970	353	2008.8357
498	community	0.5653	-0.076	2	426	691	47	2009.5106
499	comparative study	0.4926	0.1767	3	171	210	14	2002.5714
500	complex disease	-0.1235	-0.3805	1	58	62	10	2009.9
501	complex disorder	0.144	-0.2893	1	143	214	16	2008
502	computer	0.4131	-0.0202	2	173	199	14	2003.6429
503	concomitant	-0.7978	-0.0904	1	172	201	16	2008.9375
504	confidence interval	1.2804	0.2249	2	341	756	37	2010.2973
505	confidence interval ci	1.2261	-0.0047	2	179	252	11	2010.1818
506	confirmation	0.6496	0.1155	2	381	621	30	2010.3
507	confocal laser scanning microscopy	-0.5735	0.1286	1	109	120	10	2008
508	confocal microscopy	-0.5286	0.2253	3	338	547	37	2006.7027
509	conformation	-0.8691	0.2308	4	708	2106	152	2006.125
510	conformational change	-0.8088	0.2043	4	580	1291	90	2006.7
511	congo	-0.3174	0.379	3	189	232	20	2003.75
512	congophilic angiopathy	-0.1531	0.27	3	96	127	12	2001.1667
513	consecutive patient	1.4202	-0.2201	2	234	517	20	2008.7
514	consensus	0.4773	-0.191	2	261	395	27	2010.6296
515	consortium	0.6655	0.2641	3	283	453	26	2009.6154
516	construct	-0.9345	0.2364	4	313	566	40	2005.5
517	continuum	0.6721	-0.0717	2	258	365	25	2010.96
518	control brain	-0.5383	0.4161	3	607	1384	102	2001.451
519	control case	-0.3595	0.3782	3	498	912	69	2003.2319
520	control group	0.863	-0.1415	2	691	1762	101	2007.5842
521	control mouse	-0.3585	-0.3903	1	319	467	42	2011.2857
522	control participant	1.2421	0.184	2	183	273	13	2012.8462
523	control sample	0.7303	0.5524	2	235	367	22	2007.5455
524	control subject	0.878	0.0893	2	850	2477	147	2006.9116
525	conversion	0.9253	-0.23	2	830	2450	124	2009.5161
526	core	-0.6599	0.407	4	689	1617	122	2003.1393
527	cornu ammonis	-0.332	0.3078	3	160	226	15	2006.9333
528	corpus callosum	0.8872	0.1868	2	151	187	12	2007.6667
529	correction	1.0305	0.2836	2	368	632	33	2009.1515
530	correlation	0.7387	0.1094	2	1350	5599	356	2007.8624
531	cortical area	-0.0573	0.4274	3	399	713	54	2000.8519
532	cortical atrophy	0.504	0.3769	3	283	399	25	2006.92
533	cortical lewy body	0.0577	0.4881	3	162	217	14	2000.5
534	cortical neuron	-0.6732	-0.2112	1	620	1296	92	2006.0761
535	cortical region	0.4904	0.2218	3	430	696	46	2005.7391
536	cortical thickness	1.1768	0.1044	2	238	475	19	2013.2632
537	corticobasal degeneration	0.0735	0.5601	3	839	2987	167	2005.7305
538	corticobasal syndrome	0.4921	0.4545	3	218	451	24	2011.7917
539	cos	-0.8358	0.3024	4	106	143	11	2002.5455
540	cost	0.2319	-0.2996	1	373	629	36	2008.7222
541	cotton wool plaque	-0.0281	0.4304	3	132	179	16	2005.8125
542	covariate	1.3292	0.1636	2	287	555	23	2010.4783
543	cpib	0.866	0.1499	2	122	184	11	2013.0909
544	cr1	0.9992	0.3374	2	143	318	13	2012.5385
545	creb	-0.6169	-0.3759	1	249	374	24	2011.75
546	creutzfeldt jakob disease	0.4596	0.3374	3	438	885	58	2008.1379
547	criterium	0.703	0.1656	2	991	3688	200	2007.845
548	crmp2	-0.8319	-0.3646	1	106	141	10	2010.9
549	cross reactivity	-0.7973	0.5435	4	183	279	17	1998.9412
550	cross sectional study	1.2888	-0.1185	2	353	668	27	2010.3333
551	cross talk	-0.5306	-0.309	1	78	86	10	2011.7
552	crosstalk	-0.7041	-0.1162	1	121	143	12	2009
553	crucial role	-0.6973	-0.1034	1	446	728	59	2009.4746
554	csf	1.2023	-0.1888	2	1480	21025	1104	2009.5761
555	csf abeta	1.3681	0.0843	2	606	2105	96	2010.8125
556	csf abeta1	1.4811	-0.0544	2	410	1177	53	2012.8491
557	csf abeta42	1.3919	-0.1383	2	582	1971	95	2010.0316
558	csf abeta42 level	1.425	-0.1557	2	284	555	26	2009.6154
559	csf ad biomarker	1.3477	-0.2045	2	262	502	19	2013
560	csf amyloid beta	1.2958	-0.1721	2	259	487	24	2011.5833
561	csf analysis	1.1675	0.1472	2	317	630	33	2010
562	csf beta	1.4336	-0.0965	2	267	511	23	2008.0435
563	csf biomarker	1.3233	-0.1254	2	904	6892	324	2011.3704
564	csf biomarker level	1.406	0.0346	2	328	715	30	2011.5
565	csf concentration	1.2059	-0.3409	2	470	1403	68	2009.6471
566	csf level	1.2579	-0.0969	2	825	3884	199	2009.0302
567	csf marker	1.34	-0.1634	2	540	1845	85	2009.3059
568	csf measure	1.4898	0.0044	2	349	849	35	2009.5714
569	csf p	1.4389	-0.0382	2	297	592	26	2010.4231
570	csf p tau	1.4533	-0.0487	2	313	674	31	2010.0968
571	csf profile	1.3521	0.1671	2	246	492	25	2010.56
572	csf sample	1.2855	-0.2612	2	601	2086	104	2009.875
573	csf t	1.3325	-0.2272	2	274	523	22	2010.8182
574	csf t tau	1.4181	-0.0532	2	265	509	24	2010.75
575	csf tau	1.3136	-0.0119	2	653	2272	118	2006.6186
576	csf total tau	1.2797	-0.1487	2	398	936	43	2009.5116
577	culture	-0.702	-0.1921	1	687	1438	112	2006.3839
578	cultured cell	-0.7762	0.0097	4	324	503	37	2008.027
579	cultured cortical neuron	-0.6564	-0.4922	1	137	207	15	2012.2667
580	cultured hippocampal neuron	-0.7838	-0.2288	1	131	182	12	2006.8333
581	cultured neuron	-0.7695	-0.2963	1	363	569	42	2008.2619
582	curcumin	-0.284	-0.4442	1	201	237	21	2011.7143
583	curly fiber	-0.4262	0.5441	3	75	113	12	1992.6667
584	current research	0.1518	-0.2231	1	138	158	14	2009.7143
585	current state	0.7161	-0.3426	2	165	214	14	2010.1429
586	current status	0.1669	-0.3503	1	136	162	14	2008.3571
587	current therapeutic strategy	-0.3381	-0.319	1	78	85	10	2010.7
588	current treatment	0.0299	-0.39	1	115	154	15	2009.6
589	current understanding	-0.5218	-0.0774	1	152	200	22	2007.3182
590	curve	1.4239	-0.2484	2	323	661	28	2011.8571
591	cut	1.1037	-0.3228	2	229	385	20	2009.2
592	cutoff	1.3965	-0.2006	2	316	719	29	2009.9655
593	cutoff value	1.4234	-0.2688	2	267	516	22	2009.5909
594	cvd	0.6497	-0.1105	2	108	156	11	2007
595	cyclin	-1.0293	0.0516	4	131	200	14	2001.3571
596	cyclin dependent kinase	-0.8684	-0.2974	1	615	1726	115	2007.4957
597	cyclin dependent protein kinase	-1.0742	-0.097	4	140	215	10	2008.3
598	cystatin c	1.136	-0.0117	2	151	233	13	2009.4615
599	cytoplasm	-0.5027	0.2489	3	638	1395	93	2004.2688
600	cytoplasmic inclusion	-0.0533	0.4729	3	241	406	23	2005.8261
601	cytoskeletal abnormality	-0.3668	0.2686	3	262	360	29	1999.931
602	cytoskeletal alteration	-0.3333	0.3795	3	132	178	18	2000.7778
603	cytoskeletal change	-0.3149	0.4355	3	245	411	31	2001.1935
604	cytoskeletal pathology	-0.3665	0.4612	3	239	395	32	1997.5625
605	cytoskeletal protein	-0.6445	0.3773	4	384	675	50	1999.24
606	cytoskeleton	-0.6872	0.1067	4	426	844	68	2001.9265
607	cytosol	-0.8909	0.0248	4	260	364	25	2005.68
608	cytotoxicity	-0.6873	-0.1181	1	338	513	44	2009.4773
609	daily living	0.3987	-0.3262	1	228	319	21	2009.9524
610	dat	1.1875	0.1243	2	271	468	29	2004.1379
611	database	1.1423	0.1097	2	406	900	52	2011.8269
612	definite ad	0.8953	0.2182	2	182	241	14	2006.7143
613	definite diagnosis	0.6895	0.0952	2	146	194	12	2006.9167
614	definitive diagnosis	0.57	0.0718	2	184	256	16	2005
615	degenerating process	-0.1728	0.579	3	151	223	17	1998.6471
616	degenerative dementia	0.5021	0.2859	3	227	341	20	2004
617	degenerative dementias	0.4046	0.2246	3	149	206	13	1999.9231
618	degrees c	-0.961	0.3561	4	356	659	40	2003.325
619	delusion	0.3378	0.2903	3	111	132	11	2007.8182
620	demented patient	0.4349	0.2695	3	299	465	31	2001.4194
621	dementia disorder	0.826	0.0878	2	290	468	22	2004.8636
622	dementia group	1.1971	-0.0061	2	238	417	21	2009
623	dementia patient	1.0702	-0.2253	2	387	847	48	2009.375
624	dementia pugilistica	-0.1139	0.4058	3	78	90	10	2004.1
625	dementia severity	0.9368	0.1392	2	256	423	25	2006.88
626	dementia syndrome	0.7521	0.0025	2	244	388	19	2009.0526
627	dementia worldwide	-0.0226	-0.3518	1	117	144	14	2013
628	dementias	0.6791	0.0622	2	794	2216	136	2007.4485
629	demographic	1.0175	0.1518	2	188	277	14	2012.0714
630	dendrite	-0.4496	0.3598	3	576	1336	102	2002.049
631	dendritic spine	-0.5794	-0.1448	1	238	344	32	2012.2812
632	dependent kinase	-0.9158	-0.1899	1	287	567	35	2002.7429
633	dependent protein kinase	-1.113	0.0218	4	261	531	36	2001.3611
634	dephosphorylation	-1.0516	0.1024	4	749	2487	146	2002.4589
635	depression	0.5932	-0.2691	2	639	1364	86	2010.1744
636	depressive symptom	1.1182	-0.0724	2	148	212	11	2010.8182
637	deregulation	-0.7773	-0.2147	1	452	811	59	2009.4407
638	destabilization	-0.8404	0.035	4	198	282	20	2007
639	determination	0.7202	-0.1467	2	435	746	44	2008.5227
640	devastating disease	-0.2187	-0.2376	1	214	269	28	2010.1071
641	dha	-0.4289	-0.4671	1	129	179	13	2010.8462
642	diabete	-0.4437	-0.554	1	447	942	73	2010.1644
643	diabetes	-0.4366	-0.5691	1	606	1406	98	2011.6735
644	diabetes mellitus	-0.4289	-0.5602	1	446	924	65	2010.2923
645	diabetic patient	-0.4344	-0.5483	1	131	183	13	2011.3077
646	diagnosis	0.917	-0.0949	2	1426	10833	644	2008.5714
647	diagnostic	0.4608	-0.1553	2	359	568	37	2009.8919
648	diagnostic accuracy	1.3353	-0.2983	2	582	2200	96	2009.4479
649	diagnostic biomarker	1.0714	-0.2787	2	337	653	39	2010.3333
650	diagnostic criterium	0.7962	0.0088	2	568	1481	78	2008.7179
651	diagnostic group	1.3501	-0.0776	2	390	901	41	2009.6098
652	diagnostic marker	1.133	-0.3257	2	529	1405	80	2006
653	diagnostic method	0.6424	-0.319	2	191	285	17	2008.9412
654	diagnostic performance	1.2289	-0.3748	2	215	423	20	2010.95
655	diagnostic sensitivity	1.2385	-0.3492	2	163	286	14	2005.4286
656	diagnostic test	0.9682	-0.1826	2	298	556	31	2004.7097
657	diagnostic tool	0.6847	-0.2588	2	435	861	55	2009.0364
658	diagnostic value	1.1799	-0.2158	2	402	1075	56	2008.9107
659	diameter	-0.4161	0.4838	3	245	410	31	1999.4516
660	diet	-0.3859	-0.4646	1	407	715	68	2011.4706
661	dietary supplementation	-0.4324	-0.4549	1	117	139	11	2011.1818
662	differential diagnosis	1.0152	-0.206	2	615	2296	126	2008.2778
663	differential expression	-0.1773	0.521	3	167	207	13	2003.0769
664	differentiate ad	1.4036	-0.2686	2	173	261	12	2009.5
665	differentiated neuron	-0.7892	-0.1179	1	104	133	11	2003.0909
666	diffuse	-0.158	0.4238	3	204	283	21	2000.8571
667	diffuse deposit	-0.1266	0.3908	3	151	223	19	1999
668	diffuse lewy body disease	0.0015	0.4999	3	190	290	17	1998.3529
669	diffuse plaque	-0.1236	0.3571	3	351	560	43	2001.6512
670	diffusion tensor imaging	1.0722	0.1045	2	231	415	16	2013.3125
671	digestion	-0.7737	0.3779	4	237	376	25	1999.12
672	dimensional gel electrophoresis	-0.7132	0.3821	4	161	195	14	2004.5
673	dimer	-0.8332	0.2497	4	327	575	39	2006.9744
674	direct evidence	-0.9124	0.0307	4	201	274	19	2008.0526
675	direct interaction	-0.6357	-0.0466	1	125	156	13	2009
676	direct link	-0.534	0.3145	4	150	220	17	2006.2353
677	discrimination	1.1937	-0.2883	2	452	1174	60	2008.1833
678	disease biomarker	1.4633	0.0107	2	263	534	30	2012.4
679	disease brain	-0.6865	0.3033	4	872	2371	181	2003.442
680	disease control	-0.2089	0.1174	3	160	225	13	2003.7692
681	disease course	0.6752	0.1716	2	253	332	23	2008.3478
682	disease dementia	0.6854	0.2384	3	336	554	27	2011.5926
683	disease diagnosis	1.2349	-0.3037	2	173	297	20	2010.7
684	disease duration	0.7467	0.2785	3	392	729	41	2007.6829
685	disease marker	0.8786	0.0663	2	197	282	19	2009.5263
686	disease model	-0.4547	-0.1816	1	331	466	40	2010.825
687	disease modification	0.1688	-0.3918	1	163	213	16	2008.75
688	disease modifying	0.5327	-0.2749	2	222	299	18	2010.1667
689	disease modifying drug	0.7201	-0.094	2	308	566	33	2011.2727
690	disease modifying effect	0.0454	-0.4129	1	159	199	11	2011.5455
691	disease modifying therapy	0.1274	-0.3538	1	302	413	32	2010.9375
692	disease modifying treatment	0.6643	-0.4014	2	166	249	15	2011.0667
693	disease mouse	-0.358	-0.4076	1	174	257	22	2011.5909
694	disease mouse model	-0.4397	-0.4256	1	198	254	24	2012.3333
695	disease neuroimaging initiative	1.3698	0.1257	2	528	2394	96	2012.4062
696	disease pathophysiology	-0.3432	-0.3176	1	74	83	14	2008.7857
697	disease research center	1.2321	0.0909	2	267	480	19	2011.7895
698	disease risk	0.8456	0.4716	2	162	282	22	2009.1818
699	disease severity	1.0125	0.0501	2	458	965	48	2010
700	disease stage	1.0365	-0.0311	2	397	730	39	2010.7949
701	disease treatment	-0.2337	-0.4716	1	95	110	11	2010.2727
702	diseased brain	-0.7303	0.1644	4	278	411	29	2004.069
703	disinhibition	0.4845	0.3755	3	221	335	18	2009.0556
704	disordered protein	-0.9397	0.2233	4	117	184	17	2010.8235
705	dissociation	-0.8188	0.0373	4	329	485	34	2006.3824
706	distinction	0.3061	0.2483	3	353	569	37	2006.7568
707	distribution pattern	-0.0663	0.4142	3	252	335	25	2004.88
708	dlb	0.514	0.3161	3	665	1835	109	2008.0092
709	dlb case	0.3441	0.4398	3	137	190	11	2009.1818
710	dlb patient	1.0981	-0.1767	2	175	338	20	2009.25
711	dna damage	-0.6461	-0.2521	1	195	267	26	2008
712	dna fragmentation	-0.3434	0.2419	3	240	428	25	2002.24
713	docosahexaenoic acid	-0.4301	-0.466	1	147	202	15	2010.8667
714	domain	-0.7975	0.1081	4	987	2633	184	2006.163
715	donepezil	0.002	-0.4063	1	301	493	29	2010
716	dose dependent manner	-0.6446	-0.47	1	277	416	25	2008.8
717	double blind	0.4625	-0.5321	1	247	570	25	2011.2
718	double immunostaining	-0.1884	0.4905	3	139	172	10	2003.1
719	double labeling	-0.3731	0.4187	3	162	214	16	1999.5625
720	double labeling immunohistochemistry	-0.3769	0.3915	3	131	208	11	2000.7273
721	double staining	-0.3834	0.328	3	168	206	13	2005.3077
722	double transgenic mouse	-0.5235	-0.3436	1	199	299	22	2009.5909
723	down regulation	-0.8908	-0.3694	1	172	255	18	2009.5
724	downregulation	-0.6583	-0.41	1	406	724	50	2010.46
725	drinking water	-0.4048	-0.4569	1	113	143	13	2008.6923
726	drosophila	-0.6291	-0.1232	1	209	329	32	2010.7812
727	drosophila model	-0.6453	-0.1368	1	156	239	23	2010.6087
728	drug administration	0.0306	-0.4061	1	187	226	14	2009.6429
729	drug development	0.0915	-0.3266	1	458	795	60	2009.2667
730	drug target	-0.3087	-0.2844	1	311	458	48	2010.6042
731	ds brain	-0.6632	0.3138	4	123	160	10	2006.4
732	dti	1.0701	0.1007	2	153	238	10	2013.7
733	duration	0.5688	0.1485	3	666	1456	92	2006.2283
734	dyrk1a	-0.8184	0.0691	4	173	298	21	2011.1429
735	dystrophic neurite	-0.3743	0.4057	3	936	3100	229	2001.2838
736	e genotype	1.217	0.1958	2	250	414	22	2002.9091
737	early	0.6075	0.3256	3	141	151	11	2008.4545
738	early ad	0.8949	-0.1927	2	380	707	34	2009.6765
739	early ad diagnosis	1.2813	-0.3345	2	159	216	12	2012
740	early alzheimer	0.9387	-0.1664	2	383	659	45	2009.1778
741	early alzheimer disease	1.2592	0.0049	2	163	226	10	2010.5
742	early detection	0.7543	-0.2358	2	454	1005	54	2009.1667
743	early diagnosis	0.8173	-0.2317	2	718	2043	128	2009.2188
744	early intervention	0.2105	-0.3693	1	184	239	18	2010.5556
745	early onset ad	0.6235	0.283	2	188	245	20	2007.35
746	early onset alzheimer	0.5695	0.4321	3	321	491	33	2006.3636
747	early stage alzheimer	0.6868	0.0311	2	152	185	11	2010.1818
748	education	1.1661	0.0367	2	443	1040	51	2009.1961
749	eeg	0.6466	0.16	3	208	270	14	2008
750	effective disease	0.0533	-0.3787	1	130	151	13	2012.5385
751	elderly control	0.6013	0.1501	2	341	523	30	2005.9667
752	elderly patient	0.6486	-0.1801	2	303	441	28	2005.5714
753	elderly population	0.2514	-0.3181	1	185	228	16	2011.0625
754	electron microscopy	-0.733	0.2934	4	543	1165	85	2004.1059
755	electrophoretic mobility	-1.037	0.3982	4	238	451	25	1995.28
756	elisa	0.9025	-0.3546	2	878	2989	175	2008.2629
757	elisa assay	0.933	-0.3692	2	180	265	15	2007.8667
758	elisas	1.0566	-0.4146	2	193	325	19	2008.4211
759	endogenous tau	-0.7539	-0.0599	1	217	321	25	2011.72
760	endophenotype	0.9868	0.417	2	154	262	16	2013.3125
761	endoplasmic reticulum	-0.7034	-0.245	1	358	620	47	2010.4255
762	endoplasmic reticulum stress	-0.7065	-0.2542	1	135	177	14	2011.5
763	endpoint	0.3886	-0.4218	1	355	583	35	2010.4857
764	energy metabolism	-0.4529	-0.5376	1	353	597	49	2009.4898
765	environmental enrichment	-0.2559	-0.4361	1	103	122	10	2011.3
766	eoad	0.558	0.4557	3	162	252	16	2010.6875
767	epidemiology	0.2474	-0.2642	1	197	289	22	2007.8636
768	epigenetic change	-0.4179	-0.2521	1	75	81	10	2012.8
769	episodic memory	1.0166	0.0243	2	362	675	38	2009.2632
770	epitope	-0.7468	0.4071	4	1196	5682	370	2000.9784
771	epsilon4	1.1328	0.3437	2	280	526	29	2006.5517
772	epsilon4 allele	1.0394	0.3414	2	362	714	41	2007.5854
773	er stress	-0.7132	-0.255	1	141	231	17	2012.0588
774	erk	-0.7877	-0.2821	1	376	731	45	2006.0889
775	erk1	-0.8598	-0.2383	1	298	499	28	2006.9643
776	error	0.9221	0.1071	2	318	495	25	2010.72
777	essential role	-0.7276	-0.1186	1	222	296	25	2007.64
778	estimate	1.0778	-0.0432	2	326	560	29	2010.069
779	europe	0.8587	-0.0322	2	251	443	20	2007.85
780	evaluation	0.6586	-0.0474	2	1123	3608	216	2009.1898
781	exacerbation	-0.4103	-0.4323	1	112	131	15	2012.9333
782	exact mechanism	-0.4344	-0.2704	1	164	207	15	2011.4667
783	excitotoxicity	-0.4685	-0.3392	1	362	575	49	2010.449
784	exclusion	0.5959	0.0149	2	199	288	19	2009.7368
785	executive function	0.9474	0.0786	2	336	656	34	2011.8824
786	exon	-0.0846	0.5741	3	615	1462	96	2004.7188
787	experience	0.3351	-0.2461	2	284	398	23	2008
788	experimental animal	-0.5398	-0.0936	1	135	181	15	2005.6
789	experimental approach	-0.1994	-0.2755	1	133	141	15	2007.1333
790	expert opinion	-0.0714	-0.3049	1	141	172	14	2013.1429
791	extensive study	-0.5589	-0.1158	1	105	123	10	2006.1
792	extracellular matrix	-0.5682	0.0781	1	144	173	14	2007.3571
793	extracellular signal	-0.8516	-0.2275	1	287	487	29	2005.4483
794	extracellular tangle	-0.5142	0.4435	3	196	275	19	1998.6842
795	familial case	0.0316	0.3219	3	224	313	24	2004.2083
796	familial frontotemporal dementia	0.0399	0.5961	3	183	308	17	2004.2941
797	family history	0.6555	0.4441	3	342	617	35	2007.5143
798	fat	-0.4894	-0.418	1	178	248	16	2011.4375
799	fda	-0.0498	-0.3699	1	197	268	19	2009.7368
800	fdg	1.0648	0.0789	2	317	691	29	2012.1034
801	fdg pet	1.1559	0.0786	2	430	1211	54	2011.537
802	female	0.4476	-0.0011	2	545	1156	76	2009.1316
803	female mouse	-0.3129	-0.4642	1	158	221	19	2010.9474
804	fetal	-0.9517	0.4317	4	220	402	24	1997.3333
805	fetal brain	-0.9528	0.3765	4	163	247	15	1998.2667
806	fetal tau	-1.0209	0.4119	4	223	487	28	1997.6429
807	fiber	-0.4955	0.2799	3	520	1101	88	2001.8068
808	fibril	-0.6081	0.1801	4	906	2323	187	2006.3422
809	fibril formation	-0.796	0.235	4	238	368	30	2008.1333
810	fibrillar aggregate	-0.7245	0.056	4	196	244	21	2009.9524
811	fibrillization	-0.8094	0.2302	4	211	438	35	2009.0286
812	filament	-0.7742	0.3255	4	886	3127	230	2002.2087
813	filament formation	-0.8885	0.2743	4	254	547	35	2004.7143
814	filamentous aggregate	-0.6882	0.2806	4	136	178	14	2002.8571
815	filamentous inclusion	-0.4918	0.5142	4	202	302	20	2002.8
816	filamentous structure	-0.8357	0.3511	4	178	241	15	2002.0667
817	filamentous tau	-0.7652	0.3038	4	113	138	11	2008.6364
818	first demonstration	-0.2708	0.1095	3	196	272	17	2002.2353
819	fluorescence	-0.821	0.2624	4	300	538	41	2006.6829
820	fluorodeoxyglucose positron emission tomography	1.1811	0.0819	2	171	260	11	2010.6364
821	fly	-0.6191	-0.1436	1	99	131	16	2010.5
822	folding	-0.7392	0.0717	4	309	499	40	2009.725
823	food	-0.2146	-0.4395	1	198	274	25	2011.04
824	formic acid	-0.6226	0.4775	4	229	339	22	1999.5455
825	foundation	0.7792	-0.05	2	236	346	20	2010.8
826	fraction	-0.678	0.361	4	897	2449	169	2003.0828
827	fragmentation	-0.7635	-0.0813	1	301	455	29	2009.6552
828	free radical	-0.3771	-0.2949	1	269	373	39	2007.641
829	frequency	0.5336	0.4562	3	754	1983	136	2005.3015
830	frequent cause	0.2275	0.3041	3	138	158	11	2005.0909
831	frontal lobe	0.1702	0.4349	3	272	359	24	2005.4583
832	frontotemporal degeneration	0.6702	0.2913	3	181	249	14	2008
833	frontotemporal dementia	0.2582	0.4492	3	1239	5126	310	2007.5613
834	frontotemporal dementias	-0.1354	0.5492	3	256	385	26	2005.2308
835	frontotemporal lobar degeneration	0.4459	0.4941	3	738	2321	138	2010.5797
836	ftd	0.5947	0.4339	3	723	2060	119	2007.6471
837	ftd patient	0.8631	0.2875	2	191	279	14	2009.2857
838	ftdp	-0.2536	0.512	3	631	1637	99	2006.3535
839	ftld	0.4972	0.486	3	615	1783	102	2010.4706
840	ftld tau	0.4933	0.4989	3	158	262	13	2012.6923
841	ftld tdp	0.4784	0.5035	3	168	314	17	2011.5882
842	ftld u	0.3165	0.5137	3	142	236	13	2008.9231
843	full length	-0.7964	0.2153	4	587	1162	75	2008.1067
