id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. cit. impact>	score<Perc. JASIST>	score<Perc. JOI>	score<Perc. Scientometrics>	score<Perc. USA>	score<Perc. China>	score<Perc. Belgium>	score<Perc. Netherlands>	score<Perc. OA free to read>	score<Perc. OA green>	score<Perc. OA hybrid>
171	cognitive structure	0.1881	-0.4554	4	101	114	13	2011.8462	1.2932	0.1538	0.0769	0.7692	0.1538	0.0769	0.2308	0.2308	0.3077	0.3077	0
172	collaboration	-0.6178	-0.4701	3	792	3742	365	2012.6877	1.167	0.1863	0.1014	0.7123	0.2027	0.1918	0.0329	0.0466	0.2192	0.2027	0.0164
173	collaboration network	-0.4087	-0.4633	4	366	883	86	2013.5	1.0301	0.1047	0.1628	0.7326	0.2791	0.407	0.0349	0.0233	0.2093	0.186	0.0233
174	collaboration pattern	-0.9077	-0.4164	3	273	513	44	2013.4773	1.0595	0.0455	0.0682	0.8864	0.2273	0.2727	0.0455	0.0455	0.2045	0.2045	0
175	collaboration structure	-0.1075	-0.3973	4	62	78	10	2011.5	1.2786	0.1	0.2	0.7	0.5	0.4	0	0.1	0.3	0.3	0
176	collaborative article	-0.9587	-0.0027	3	116	173	14	2013.7857	2.2702	0.0714	0.0714	0.8571	0	0.2857	0	0	0.1429	0.1429	0
177	collaborative network	-0.7633	-0.5475	3	105	152	14	2013.0714	0.7641	0	0.2143	0.7857	0.0714	0.2143	0	0	0.2857	0.2857	0
178	collaborative paper	-1.1949	-0.4388	3	135	221	14	2012.2857	1.8707	0.0714	0	0.9286	0.0714	0.5	0	0.0714	0.4286	0.4286	0
179	collaborative research	-0.9488	0.3034	3	114	181	19	2012.6842	1.0387	0.1053	0.1579	0.7368	0.1579	0.1053	0	0	0	0	0
180	collaborator	-0.6721	-0.247	3	241	399	40	2013.2	0.9766	0.175	0.2	0.625	0.15	0.1	0.075	0.05	0.3	0.3	0
181	collection	0.8148	-0.1929	1	656	1968	203	2012.2463	0.9083	0.665	0.0985	0.2365	0.4187	0.0936	0.0394	0.0296	0.2956	0.266	0.0296
182	college	-0.1711	-0.1385	3	128	165	20	2011.7	0.7068	0.45	0.1	0.45	0.45	0.05	0	0.15	0.1	0.1	0
183	comment	0.3086	0.5153	2	289	606	91	2012.2967	1.0864	0.3846	0.1538	0.4615	0.2308	0.0879	0.0879	0.1319	0.1868	0.1758	0.011
184	communication technology	0.9338	0.2902	1	153	236	25	2011.44	0.4862	0.88	0	0.12	0.4	0.12	0	0.08	0.12	0.12	0
185	company	0.0341	-0.7632	4	382	807	88	2011.5568	0.8448	0.3409	0.0909	0.5682	0.125	0.1818	0.0341	0.0341	0.1364	0.1364	0
186	completeness	0.6086	0.0024	1	113	139	15	2011.9333	1.0291	0.6667	0.0667	0.2667	0.4	0	0	0.0667	0.4	0.3333	0.0667
187	complex network	0.0017	-0.3538	4	102	135	16	2013.125	0.8516	0.1875	0.3125	0.5	0.125	0.3125	0	0	0.25	0.25	0
188	computer	1.0152	0.1425	1	214	360	34	2011.5882	0.7599	0.7353	0.0882	0.1765	0.4412	0.0588	0.0294	0.0294	0.1765	0.1765	0
189	computer scientist	-0.1355	0.4083	2	89	108	13	2012.1538	0.7405	0.1538	0.0769	0.7692	0.1538	0	0	0	0.3846	0.3846	0
190	concentration	-0.5181	-0.2574	3	285	462	50	2012.2	0.7716	0.2	0.16	0.64	0.18	0.1	0.04	0.06	0.16	0.14	0.02
191	conception	0.5213	0.1893	1	147	221	24	2011.0833	1.1171	0.75	0	0.25	0.3333	0.125	0	0	0.25	0.2083	0.0417
192	conceptual framework	0.5813	0.0902	1	162	234	27	2012.1111	1.3157	0.6667	0.037	0.2963	0.3333	0.2222	0.1111	0	0.2222	0.2222	0
193	conceptualization	0.9755	-0.0009	1	173	269	32	2012	0.747	0.8125	0.0938	0.0938	0.5312	0.0938	0	0.0938	0.25	0.25	0
194	conference paper	-0.7654	0.3395	2	115	166	18	2012.2222	0.9648	0.2222	0.2222	0.5556	0.1667	0.0556	0	0.1111	0.2778	0.2778	0
195	conference proceeding	-0.8074	0.2985	2	173	245	23	2011.2174	2.1707	0.3913	0	0.6087	0.3043	0.087	0.0435	0.087	0.2174	0.1304	0.087
196	confidence	0.6728	0.2966	1	174	237	23	2011.8261	0.8507	0.7391	0.087	0.1739	0.3913	0.087	0	0.0435	0.3043	0.2609	0.0435
197	consistency	0.3722	0.2206	1	236	320	37	2012.2703	1.2241	0.4865	0.1622	0.3514	0.2162	0.1081	0.0811	0.027	0.3514	0.3243	0.027
198	consumer	1.019	0.3569	1	148	234	23	2011.6087	1.2743	0.8696	0	0.1304	0.5652	0.087	0	0.1739	0.2174	0.2174	0
199	content	0.8175	-0.0939	1	743	2692	275	2011.9927	0.8949	0.6873	0.0691	0.2436	0.4	0.0945	0.0291	0.04	0.2873	0.2655	0.0218
200	content analysis	0.7112	0.0349	1	381	748	77	2012.2857	0.9111	0.6104	0.026	0.3636	0.4286	0.0779	0.013	0.026	0.1948	0.1688	0.026
201	contextual factor	1.3193	0.2122	1	101	164	15	2013	0.8436	0.8667	0	0.1333	0.6	0.2	0	0.0667	0.2667	0.2	0.0667
202	continent	-1.0176	-0.3743	3	135	206	19	2012.5263	1.0856	0	0.1053	0.8947	0	0.1579	0	0.1053	0.1579	0.1579	0
203	contributor	-0.9731	-0.3889	3	288	527	46	2012.7174	0.9959	0.2826	0.0652	0.6522	0.3043	0.3696	0	0	0.1522	0.1304	0.0217
204	convergence	0.0245	-0.6199	4	168	235	31	2012	0.852	0.3226	0.0968	0.5806	0.2581	0.129	0.0645	0.0323	0.1613	0.1613	0
205	cooperation	-0.7381	-0.4949	3	267	479	51	2012.3922	0.959	0.1176	0.1176	0.7647	0.0784	0.2353	0.0588	0.0784	0.1961	0.1961	0
206	core journal	-0.5532	-0.3481	3	172	246	22	2012.0909	1.0999	0.0909	0.0455	0.8636	0.1364	0.2727	0.0455	0.1364	0.2273	0.2273	0
207	corpus	0.7305	-0.4053	1	308	585	66	2012.1818	0.7462	0.6515	0.0606	0.2879	0.2576	0.0303	0	0.0606	0.1818	0.1515	0.0303
208	correlation coefficient	-0.2286	0.4654	2	222	312	33	2012.3333	1.1844	0.2121	0.1818	0.6061	0.1515	0.2727	0.1212	0.0606	0.2121	0.1818	0.0303
209	corresponding author	-1.0779	0.1692	3	138	214	19	2012.8947	1.223	0.1053	0.1579	0.7368	0.0526	0.4211	0	0.0526	0.1579	0.1579	0
210	cosine	0.2086	-0.2681	4	82	106	15	2011.4	1.5878	0.6667	0.2	0.1333	0.0667	0.0667	0.3333	0.4667	0.6	0.5333	0.0667
211	country	-0.8403	-0.2511	3	941	7361	700	2012.3986	1.1026	0.1343	0.1014	0.7643	0.1343	0.1843	0.0429	0.0643	0.2171	0.2	0.0171
212	country level	-0.7982	-0.3105	3	148	235	23	2012.6087	1.4383	0.2609	0	0.7391	0.1739	0.3043	0.0435	0.1739	0.2609	0.2609	0
213	creativity	0.5513	0.1253	1	107	141	18	2011.0556	0.5109	0.6111	0.1111	0.2778	0.2778	0	0	0	0.2778	0.2778	0
214	credibility	1.0577	0.328	1	151	261	29	2012.2759	1.1825	0.8621	0	0.1379	0.3448	0.1379	0	0.1724	0.2069	0.2069	0
215	credit	-0.439	0.2461	2	145	227	31	2012.9677	1.4374	0.129	0.3548	0.5161	0.1935	0.129	0.0323	0.0968	0.4516	0.2903	0.1613
216	critical issue	0.2648	0.2341	2	84	95	10	2012.6	0.7371	0.5	0.2	0.3	0.2	0.2	0	0	0.1	0.1	0
217	criticism	0.1043	0.5719	2	185	269	38	2012.5526	0.9967	0.3421	0.1316	0.5263	0.1842	0	0.0263	0.1316	0.2105	0.1842	0.0263
218	current state	0.7274	-0.2141	1	118	142	16	2012.625	0.7981	0.5625	0.0625	0.375	0.4375	0.125	0	0	0.1875	0.125	0.0625
219	current status	-0.535	-0.3071	3	63	73	10	2012	0.5199	0.2	0	0.8	0.3	0.4	0.1	0	0	0	0
220	current trend	-0.7274	-0.6845	3	103	138	11	2013	1.0377	0.1818	0	0.8182	0.0909	0.3636	0	0	0.0909	0.0909	0
221	daily life	1.1125	0.1944	1	106	136	12	2012.4167	0.5442	0.8333	0	0.1667	0.5	0.0833	0	0	0.1667	0.0833	0.0833
222	data envelopment analysis	-0.4019	-0.0621	2	89	122	15	2011.8667	0.9329	0	0.4	0.6	0	0.1333	0.0667	0	0.2	0.2	0
223	data quality	0.4484	0.1364	1	73	76	10	2014.2	1.449	0.4	0.2	0.4	0.4	0.1	0	0	0.4	0.4	0
224	day	0.8435	0.1257	1	179	292	33	2012.303	1.1529	0.6667	0.1212	0.2121	0.303	0.1212	0.0303	0	0.3636	0.3636	0
225	dblp	0.2435	-0.3478	4	87	112	12	2013.6667	1.3925	0.0833	0.0833	0.8333	0.4167	0.0833	0	0	0.25	0.25	0
226	dea	-0.4041	-0.0633	2	73	99	11	2011.8182	1.0217	0	0.4545	0.5455	0	0.1818	0.0909	0	0.2727	0.2727	0
227	decade	-0.6368	-0.4	3	562	1338	124	2012.4274	1.1332	0.2823	0.0726	0.6452	0.2661	0.1935	0.0403	0.0484	0.1694	0.1613	0.0081
228	december	-1.0833	0.1007	3	170	242	21	2013.1905	1.2475	0.2381	0.0952	0.6667	0.1429	0.2381	0	0	0.2381	0.2381	0
229	decline	-0.6436	-0.1784	3	266	464	47	2012.1702	1.4662	0.1702	0.1489	0.6809	0.2128	0.1277	0.1277	0.0851	0.2979	0.2553	0.0426
230	decomposition	0.2606	-0.2196	1	139	179	22	2011.5909	1.2771	0.6818	0.0909	0.2273	0.3636	0.1364	0.0909	0.3182	0.1818	0.1364	0.0455
231	decrease	-0.7056	0.5081	2	260	392	42	2012.0952	0.8438	0.1905	0.2619	0.5476	0.119	0.0952	0.0952	0.0714	0.1667	0.1429	0.0238
232	degree centrality	-0.2749	-0.4063	4	181	329	28	2013.1071	1.734	0.2143	0.2143	0.5714	0.25	0.25	0.0714	0.1071	0.1429	0.1429	0
233	delineation	0.0864	-0.3023	4	125	161	19	2011.1053	1.7386	0.5789	0	0.4211	0.1053	0.1053	0.1053	0.5263	0.6316	0.5789	0.0526
234	denmark	-1.0807	-0.1637	3	115	167	11	2013.5455	1.2296	0	0.1818	0.8182	0	0	0.0909	0	0.3636	0.1818	0.1818
235	density	-0.123	-0.3338	4	269	416	43	2012.6512	1.192	0.3953	0.0698	0.5349	0.2326	0.2558	0	0.1628	0.2558	0.2326	0.0233
236	depth	0.8786	-0.0248	1	197	284	27	2013	0.7908	0.5556	0.037	0.4074	0.1852	0.1852	0.1111	0.037	0.2593	0.2222	0.037
237	depth interview	0.9551	0.2687	1	84	103	10	2011.1	0.7018	0.8	0	0.2	0.4	0	0	0	0	0	0
238	description	0.7812	-0.2079	1	424	879	98	2011.6531	1.1764	0.6735	0.0612	0.2653	0.4388	0.0714	0.0306	0.051	0.2143	0.2143	0
239	descriptor	0.3485	-0.3242	1	222	303	30	2011.9333	0.5789	0.4333	0.1	0.4667	0.2333	0.2333	0.0333	0.0333	0.2667	0.2667	0
240	design	1.0221	0.0381	1	617	2233	220	2011.5182	0.6856	0.7864	0.0273	0.1864	0.4273	0.0909	0.0045	0.0409	0.2545	0.2364	0.0182
241	designer	1.1636	-0.0089	1	179	318	30	2011.6	0.3732	0.9667	0	0.0333	0.6	0	0	0.0333	0.3	0.2667	0.0333
242	detection	0.7438	-0.381	1	318	574	63	2012.8095	1.2	0.6508	0.127	0.2222	0.381	0.1905	0.0317	0.0317	0.3333	0.3175	0.0159
243	determination	0.4224	-0.1157	1	149	180	16	2011.5625	0.9428	0.5	0.3125	0.1875	0.3125	0	0	0	0.1875	0.1875	0
244	developed country	-0.963	-0.2698	3	108	140	14	2012.9286	0.8325	0.2857	0.1429	0.5714	0	0.2857	0	0.1429	0.2857	0.2857	0
245	deviation	-0.2415	0.551	2	133	174	22	2011.7273	0.8216	0.2273	0.3182	0.4545	0	0.0909	0.1818	0.1364	0.4091	0.4091	0
246	device	1.0352	0.1682	1	214	356	35	2012.4	1.108	0.6857	0	0.3143	0.2	0.0571	0.0286	0	0.1429	0.1143	0.0286
247	difficulty	0.5967	0.2182	1	341	588	67	2011.9552	0.8838	0.6716	0.0896	0.2388	0.3582	0.0448	0	0.1045	0.3582	0.3284	0.0299
248	digital library	0.6917	-0.1709	1	255	442	44	2010.8182	0.848	0.6591	0.0227	0.3182	0.4091	0.1818	0	0	0.25	0.25	0
249	direct citation	0.094	-0.4323	4	70	92	13	2012.3077	1.6513	0.3077	0.4615	0.2308	0.0769	0.2308	0.0769	0.0769	0	0	0
250	directory	0.2258	0.4169	2	155	231	20	2012.1	2.0082	0.55	0.1	0.35	0.3	0.1	0	0.05	0.4	0.4	0
251	disambiguation	0.6164	-0.3998	1	184	338	33	2012.8182	1.039	0.5152	0.0606	0.4242	0.3636	0.1818	0.0606	0.0909	0.3333	0.2727	0.0606
252	disciplinary difference	-0.6072	0.4478	2	140	194	21	2013.1429	2.0825	0.381	0.0952	0.5238	0.0952	0.0476	0	0.0476	0.3333	0.3333	0
253	discourse	0.5439	0.0345	1	220	340	41	2011.439	0.9416	0.7073	0.0244	0.2683	0.4146	0.0488	0.0244	0.0732	0.1707	0.1463	0.0244
254	discrepancy	-0.2251	0.3175	2	125	153	18	2011.6111	0.8804	0.2222	0.1667	0.6111	0	0.1111	0.0556	0.1111	0.3333	0.2778	0.0556
255	discrimination	0.3049	-0.1775	1	119	145	14	2012.6429	0.7923	0.3571	0.0714	0.5714	0.2143	0.2143	0	0	0.2143	0.2143	0
256	display	1.063	-0.2128	1	150	222	25	2011.56	0.8816	0.56	0.04	0.4	0.36	0.12	0	0	0.16	0.12	0.04
257	distortion	-0.1998	0.2222	2	83	120	11	2012.3636	2.0767	0.2727	0.2727	0.4545	0.0909	0	0	0	0	0	0
258	document collection	1.0417	-0.3756	1	102	146	14	2011.2143	0.4187	1	0	0	0.3571	0.0714	0	0	0.4286	0.4286	0
259	document type	-0.9834	0.1689	3	331	707	58	2012.3276	1.6093	0.1552	0.1379	0.7069	0.0345	0.3621	0.069	0.0517	0.3103	0.2931	0.0172
260	documentation	0.3175	0.368	2	144	194	20	2011.65	0.8076	0.5	0.15	0.35	0.5	0.1	0.05	0.05	0.1	0.1	0
261	domain expert	0.4189	-0.4572	1	127	168	15	2012.8667	1.2364	0.5333	0.0667	0.4	0.4	0.2667	0	0.2	0.5333	0.4667	0.0667
262	domain knowledge	1.0558	-0.2898	1	79	105	12	2010	0.3979	1	0	0	0.5833	0.25	0	0	0.1667	0.1667	0
263	domestic collaboration	-0.7693	-0.6064	3	135	216	16	2012.6875	1.271	0	0.0625	0.9375	0.125	0.125	0	0.125	0.0625	0.0625	0
264	dominance	-0.7603	-0.2645	3	218	301	26	2012.0769	0.8725	0.2308	0.0769	0.6923	0.2692	0.1923	0.0385	0.0385	0.2692	0.2692	0
265	doubt	0.034	0.268	2	83	93	13	2012.9231	0.9541	0.3846	0	0.6154	0.2308	0	0.0769	0.0769	0.3077	0.2308	0.0769
266	download	-0.4086	0.5559	2	133	186	22	2013.0455	1.4231	0.1818	0.1818	0.6364	0.3636	0.1818	0	0.1364	0.4545	0.4091	0.0455
267	drawback	0.0235	0.4398	2	153	197	22	2011.8182	1.6717	0.4091	0.0909	0.5	0.2273	0.0455	0.0455	0.0909	0.3636	0.3182	0.0455
268	driver	-0.1476	-0.6021	4	195	285	28	2012.1786	1.1894	0.2857	0.1786	0.5357	0.1071	0.1429	0.0714	0.2143	0.1786	0.1071	0.0714
269	earlier study	0.061	0.4465	2	72	78	11	2012.0909	1.3679	0.3636	0.2727	0.3636	0.3636	0.0909	0	0.3636	0.1818	0.0909	0.0909
270	ease	0.9534	0.3926	1	158	252	28	2011.6071	1.2113	0.7857	0	0.2143	0.3571	0.1429	0	0.0714	0.25	0.2143	0.0357
271	east asia	-1.1122	-0.5024	3	153	260	15	2013.2	0.9628	0.1333	0	0.8667	0.0667	0.4667	0	0	0.2	0.2	0
272	economic development	-0.3243	-0.7033	4	134	176	19	2012.2105	0.4823	0.3158	0.0526	0.6316	0.1053	0.2105	0.0526	0.1053	0.1053	0.1053	0
273	economic growth	-0.5871	-0.709	3	137	233	18	2012.5556	0.9672	0.1111	0.2222	0.6667	0.0556	0.3889	0.1111	0.0556	0.1667	0.1667	0
274	economics	-0.703	0.1877	2	167	259	30	2013.1667	1.2827	0.1333	0.1	0.7667	0.1333	0.2	0	0.0667	0.3	0.2667	0.0333
275	economist	-0.4164	0.2536	2	103	126	21	2012	0.6207	0.0952	0.2857	0.619	0.1905	0	0.0476	0.381	0.4286	0.4286	0
276	economy	-0.5448	-0.6747	3	371	826	82	2012.2805	0.9764	0.1829	0.0732	0.7439	0.0976	0.1707	0.0976	0.0976	0.2561	0.2317	0.0244
277	edge	0.0214	-0.3607	4	210	314	34	2012.8235	0.8127	0.2059	0.3235	0.4706	0.3824	0.2059	0	0.0588	0.3824	0.3824	0
278	edition	-0.3514	0.4628	2	194	267	31	2012	0.8413	0.4516	0.2903	0.2581	0.2581	0	0.0323	0.0645	0.3226	0.2581	0.0645
279	editor	0.2051	0.6298	2	304	572	73	2012.4247	0.6827	0.2603	0.0959	0.6438	0.1233	0.0548	0.0822	0.0822	0.3014	0.2877	0.0137
280	editorial board	-0.2822	0.6132	2	84	99	11	2012.1818	0.643	0.1818	0.0909	0.7273	0.0909	0	0.0909	0	0.2727	0.2727	0
281	effective method	0.7726	-0.3854	1	77	94	13	2011.9231	0.5223	0.3846	0.3077	0.3077	0.3846	0.2308	0	0	0.1538	0.1538	0
282	effectiveness	0.9844	-0.3911	1	567	1691	168	2012.0417	0.6917	0.6964	0.0714	0.2321	0.3274	0.2083	0.006	0.0119	0.2202	0.2143	0.006
283	efficacy	0.9809	0.383	1	191	330	32	2011.8438	1.261	0.75	0.0312	0.2188	0.4688	0.1562	0	0	0.1875	0.1562	0.0312
284	egghe	-0.1513	0.7021	2	142	260	37	2010.4054	0.6773	0.3514	0.3514	0.2973	0.0541	0.0811	0.3243	0.0811	0.1622	0.1622	0
285	eigenfactor	-0.4364	0.7563	2	59	91	11	2011.3636	0.938	0.3636	0.0909	0.5455	0.2727	0	0	0.1818	0.4545	0.4545	0
286	eigenfactor score	-0.3997	0.7204	2	63	82	10	2012.2	0.6078	0.5	0	0.5	0.4	0.1	0	0	0.2	0.2	0
287	elsevier	-0.6502	0.5539	2	100	142	13	2013	4.2573	0.3077	0.3846	0.3077	0.1538	0	0	0.4615	0.6923	0.6923	0
288	emotion	1.015	-0.0474	1	146	262	23	2012.6087	1.359	0.913	0.0435	0.0435	0.4783	0.087	0	0.0435	0.2174	0.2174	0
289	empirical investigation	0.4645	0.4129	1	121	153	15	2010.6	0.8604	0.6	0.1333	0.2667	0.4	0.3333	0.0667	0.0667	0	0	0
290	end user	1.0785	-0.0433	1	120	170	14	2011	0.7772	0.9286	0	0.0714	0.7143	0	0	0.0714	0.3571	0.3571	0
291	energy	-0.6795	-0.1127	3	221	362	37	2012.4865	0.8089	0.1081	0	0.8919	0.1351	0.1351	0	0.027	0.1081	0.1081	0
292	engagement	0.7662	0.355	1	190	288	27	2013.1111	1.5333	0.6667	0.037	0.2963	0.4444	0.1111	0	0	0.4815	0.4815	0
293	engineer	0.4458	-0.3132	1	142	179	16	2012.4375	0.4856	0.5	0.0625	0.4375	0.25	0	0	0	0.1875	0.125	0.0625
294	england	-1.2019	-0.2518	3	127	187	13	2011.6923	0.6363	0.0769	0.0769	0.8462	0.3077	0.5385	0.0769	0.0769	0.2308	0.1538	0.0769
295	enterprise	-0.4567	-0.7412	4	222	405	36	2012.1111	0.7056	0.1111	0.0833	0.8056	0.25	0.3333	0	0.0278	0.1667	0.1667	0
296	entity	0.6157	-0.2603	1	342	614	71	2011.8873	0.7029	0.5493	0.1408	0.3099	0.3803	0.1408	0.0845	0.0423	0.1831	0.169	0.0141
297	entropy	0.3219	-0.1427	1	178	248	32	2012.2188	1.2027	0.375	0.1562	0.4688	0.125	0.25	0.0625	0.1562	0.3125	0.3125	0
298	environment	0.6795	0.1249	1	673	1788	181	2011.5691	0.911	0.6464	0.0608	0.2928	0.3646	0.0884	0.0166	0.0884	0.2597	0.2376	0.0221
299	environmental science	-1.012	-0.5244	3	196	309	25	2013.12	1.1177	0.08	0.08	0.84	0.24	0.32	0	0	0.32	0.28	0.04
300	europe	-1.0156	-0.4339	3	392	927	76	2012.3026	0.8476	0.1053	0.0526	0.8421	0.1447	0.2105	0.0789	0.1053	0.2368	0.2237	0.0132
301	european country	-1.1047	-0.193	3	253	427	35	2012.4857	1.3741	0.1429	0.1143	0.7429	0.1143	0.2	0.0571	0.0571	0.2571	0.2571	0
302	european union	-0.9091	-0.3429	3	148	249	23	2010.8696	1.1741	0.087	0.1739	0.7391	0.3043	0.1304	0.1304	0.2174	0.4348	0.3913	0.0435
303	evaluation result	0.6427	-0.199	1	148	226	24	2012.5417	0.644	0.6667	0.25	0.0833	0.5417	0.4583	0	0	0.125	0.125	0
304	excellence	-0.5224	0.1828	2	317	548	60	2012.7333	1.3544	0.2	0.1667	0.6333	0.1167	0.0167	0.0333	0.1667	0.4333	0.4167	0.0167
305	exception	-0.599	0.1881	3	260	371	37	2012.5946	1.6807	0.3514	0.0811	0.5676	0.1081	0.0541	0.027	0.1081	0.1892	0.1351	0.0541
306	exchange	0.4107	0.0522	1	245	400	43	2012.0465	0.7578	0.5116	0.093	0.3953	0.3488	0.1628	0.1163	0.093	0.1628	0.1395	0.0233
307	expenditure	-0.557	-0.5525	3	207	378	33	2011.303	0.7972	0.0606	0.1515	0.7879	0.1515	0.2727	0.0606	0.0303	0.3333	0.303	0.0303
308	experience	1.0624	0.2066	1	487	1453	134	2012.2761	0.8731	0.7313	0.0448	0.2239	0.5	0.0896	0.0224	0.0373	0.2836	0.2687	0.0149
309	experiment	1.0175	-0.307	1	596	2449	250	2012	0.6949	0.8	0.04	0.16	0.352	0.168	0.028	0.044	0.248	0.236	0.012
310	experimental result	0.9095	-0.4374	1	290	669	71	2011.7042	0.4907	0.8028	0.0282	0.169	0.2676	0.3521	0.0423	0.0141	0.169	0.1549	0.0141
311	experimental study	0.9231	0.0299	1	162	235	22	2012.7727	0.7044	0.7727	0.0455	0.1818	0.4545	0.2727	0.0455	0	0.1818	0.1818	0
312	expertise	0.9052	0.0786	1	317	626	58	2012.1897	0.9628	0.5517	0.069	0.3793	0.3276	0.0862	0.069	0.069	0.3448	0.3276	0.0172
313	exploitation	0.3039	-0.4776	4	122	143	15	2012.4667	0.7687	0.3333	0	0.6667	0.1333	0.1333	0	0.0667	0.1333	0.1333	0
314	exploratory study	0.7353	0.2766	1	187	299	30	2010.8	1.2101	0.6333	0.0667	0.3	0.2333	0.0667	0.0667	0.0667	0.2333	0.2	0.0333
315	exponent	-0.1834	0.6153	2	123	172	26	2010.7308	0.9642	0.4231	0.0385	0.5385	0.1923	0.0769	0.3462	0.0769	0.2308	0.1538	0.0769
316	exponential growth	-0.4185	-0.2971	3	156	201	17	2012.8824	1.1844	0.1765	0.2941	0.5294	0.1176	0.2941	0	0	0.1765	0.1765	0
317	expression	0.725	-0.1223	1	238	351	39	2011.6923	1.0709	0.5385	0.0513	0.4103	0.3333	0.1538	0.0256	0	0.1538	0.1282	0.0256
318	extant literature	0.5976	-0.1917	1	90	119	12	2011.4167	0.8321	0.6667	0	0.3333	0.3333	0.3333	0	0	0.1667	0.1667	0
319	extensive experiment	1.0525	-0.4389	1	80	123	13	2012.6154	0.4117	0.7692	0.1538	0.0769	0.2308	0.3077	0	0	0.3077	0.3077	0
320	extraction	0.8657	-0.3743	1	269	511	51	2011.9608	0.7567	0.7843	0.0588	0.1569	0.3137	0.2353	0	0.0588	0.2549	0.2549	0
321	f measure	0.9294	-0.4543	1	106	167	14	2010.5	0.2705	1	0	0	0.2857	0.2143	0	0	0.2143	0.2143	0
322	face	0.6866	0.2622	1	121	170	18	2011.3889	0.5664	0.6111	0.0556	0.3333	0.6111	0.1667	0.0556	0	0.0556	0.0556	0
323	facebook	0.8799	0.3204	1	119	193	20	2013.45	1.3113	0.65	0.05	0.3	0.35	0.15	0	0.05	0.25	0.25	0
324	facet	0.7094	-0.2495	1	172	251	25	2011.76	0.8111	0.68	0	0.32	0.6	0.16	0.04	0.04	0.12	0.12	0
325	faculty	-0.3401	0.1649	2	318	583	56	2012.3571	1.2669	0.25	0.0357	0.7143	0.4107	0.0357	0	0.0179	0.1786	0.1607	0.0179
326	faculty member	-0.1949	0.139	2	237	387	38	2012.1579	1.3876	0.2368	0.1053	0.6579	0.3421	0.0263	0.0263	0.0263	0.1579	0.0789	0.0789
327	failure	1.0718	0.1565	1	129	166	17	2011.5882	0.7032	0.7059	0.1176	0.1765	0.3529	0	0	0	0.1765	0.1765	0
328	family	0.1722	0.2724	2	204	286	39	2011.0256	0.9794	0.3077	0.1538	0.5385	0.1538	0.0769	0.1538	0.0769	0.2308	0.2308	0
329	feasibility	0.5832	-0.4646	1	172	218	22	2012.4545	0.4577	0.5455	0.0909	0.3636	0.3636	0.1818	0.0455	0	0.1818	0.1364	0.0455
330	feedback	1.1499	-0.4154	1	196	397	37	2011.7568	0.6437	0.8378	0.027	0.1351	0.2703	0.1892	0	0.1081	0.3243	0.3243	0
331	feeling	1.055	0.1063	1	107	160	14	2011.0714	0.8394	0.7143	0.0714	0.2143	0.5	0	0.0714	0	0.3571	0.3571	0
332	female	-0.1193	0.0245	2	135	182	16	2013.125	1.3939	0.1875	0.0625	0.75	0.125	0.0625	0	0	0.125	0.125	0
333	female researcher	-0.1448	0.0357	2	75	101	10	2013.7	1.8815	0.1	0.1	0.8	0.1	0	0	0.2	0.2	0.1	0.1
334	few study	0.8149	0.0079	1	174	243	25	2011.92	1.066	0.6	0.04	0.36	0.44	0.28	0	0	0.16	0.16	0
335	field normalization	-0.0991	0.5592	2	102	137	18	2012.7222	2.3233	0.0556	0.5556	0.3889	0.1111	0.1667	0.1111	0.2222	0.4444	0.4444	0
336	file	0.8647	-0.2067	1	184	282	29	2011	0.6986	0.7931	0.0345	0.1724	0.4138	0.069	0.0345	0.069	0.2759	0.2759	0
337	filter	-0.0368	-0.2877	4	89	103	11	2013.9091	0.5828	0.4545	0	0.5455	0.3636	0.0909	0	0	0.1818	0.1818	0
338	finland	-1.0631	-0.1575	3	158	217	17	2011.6471	1.1347	0.2353	0	0.7647	0	0	0.0588	0	0.0588	0	0.0588
339	firm	-0.2804	-0.7563	4	280	601	74	2012	0.75	0.2568	0.0541	0.6892	0.1757	0.2297	0.1216	0.1486	0.1351	0.1216	0.0135
340	first author	-1.039	0.1289	3	189	303	30	2012.6667	1.3647	0.1	0.2667	0.6333	0.1333	0.3667	0.0333	0.0333	0.2	0.1667	0.0333
341	first part	0.4979	0.0177	1	117	151	18	2010.4444	1.9299	0.4444	0.1667	0.3889	0.1667	0.1111	0.1111	0.0556	0.3889	0.3889	0
342	first step	0.4136	-0.0201	1	185	246	25	2011.84	1.0221	0.56	0.12	0.32	0.28	0.24	0.12	0.04	0.12	0.12	0
343	flexibility	0.5272	-0.2899	1	118	145	15	2012.0667	1.0267	0.3333	0.1333	0.5333	0.3333	0.2	0.2	0.2	0.3333	0.2	0.1333
344	flickr	1.0369	-0.1567	1	91	134	10	2011.2	0.9544	1	0	0	0.7	0.3	0	0	0.2	0.2	0
345	format	0.9609	-0.0989	1	236	353	37	2011.0811	0.6329	0.6216	0.1081	0.2703	0.4054	0.0541	0	0.0541	0.1892	0.1622	0.027
346	formula	0.0144	0.5373	2	207	307	38	2011.6053	0.6478	0.3421	0.3158	0.3421	0.1579	0.0789	0.2105	0	0.1842	0.1579	0.0263
